"Step","Conv-Attention - train_accuracy","Conv-Attention - train_accuracy__MIN","Conv-Attention - train_accuracy__MAX"
"6250","0.3911689385936144","0.3911689385936144","0.3911689385936144"
"12501","0.4608776002617778","0.4608776002617778","0.4608776002617778"
"18752","0.4850067000469013","0.4850067000469013","0.4850067000469013"
"25003","0.5037497060615675","0.5037497060615675","0.5037497060615675"
"31254","0.5215520170207155","0.5215520170207155","0.5215520170207155"
"37505","0.5392888651057838","0.5392888651057838","0.5392888651057838"
"43756","0.5570492835083828","0.5570492835083828","0.5570492835083828"
"50007","0.5733511964422079","0.5733511964422079","0.5733511964422079"
"56258","0.5865744207916718","0.5865744207916718","0.5865744207916718"
"62509","0.5948157454877113","0.5948157454877113","0.5948157454877113"