"Step","Conv-Attention - train_loss_epoch","Conv-Attention - train_loss_epoch__MIN","Conv-Attention - train_loss_epoch__MAX"
"6250","1.3301196597003937","1.3301196597003937","1.3301196597003937"
"12501","1.0310003405380248","1.0310003405380248","1.0310003405380248"
"18752","0.9481282002449035","0.9481282002449035","0.9481282002449035"
"25003","0.8891882715415954","0.8891882715415954","0.8891882715415954"
"31254","0.8385764269256591","0.8385764269256591","0.8385764269256591"
"37505","0.7923022116470337","0.7923022116470337","0.7923022116470337"
"43756","0.7500216518163682","0.7500216518163682","0.7500216518163682"
"50007","0.7141428187322617","0.7141428187322617","0.7141428187322617"
"56258","0.6870639827537537","0.6870639827537537","0.6870639827537537"
"62509","0.6711821871328354","0.6711821871328354","0.6711821871328354"